Vehicle_Type,Lane_Type,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Day,Month,Year,Hour,Minute
6,0,130,130,0,70,Not Fraud,17,9,2023,2,0
4,1,120,120,0,92,Not Fraud,18,9,2023,6,30
3,0,150,150,0,49,Not Fraud,19,9,2023,11,5
0,1,340,340,0,78,Not Fraud,20,9,2023,16,45
1,0,100,100,0,67,Not Fraud,21,9,2023,21,20
2,1,0,0,0,95,Not Fraud,22,9,2023,2,50
5,0,340,340,0,56,Not Fraud,23,9,2023,7,30
6,1,130,130,0,83,Not Fraud,1,1,2023,8,0
4,0,120,120,0,68,Not Fraud,2,1,2023,12,30
3,1,150,150,0,96,Not Fraud,3,1,2023,16,45
0,0,340,340,0,47,Not Fraud,4,1,2023,20,15
1,1,100,100,0,82,Not Fraud,5,1,2023,1,30
2,1,0,0,0,59,Not Fraud,6,1,2023,5,45
5,1,340,340,0,87,Not Fraud,7,1,2023,10,15
6,0,130,130,0,50,Not Fraud,8,1,2023,14,30
4,1,120,120,0,76,Not Fraud,9,1,2023,18,0
3,0,150,150,0,65,Not Fraud,10,1,2023,22,15
0,1,340,340,0,90,Not Fraud,11,1,2023,2,30
1,0,100,100,0,53,Not Fraud,12,1,2023,6,45
2,1,0,0,0,79,Not Fraud,13,1,2023,11,15
5,0,340,340,0,73,Not Fraud,14,1,2023,15,30
6,1,130,100,0,97,Fraud,15,1,2023,19,0
4,0,120,120,0,44,Not Fraud,16,1,2023,23,15
3,1,150,150,0,81,Not Fraud,17,1,2023,3,30
0,0,340,100,0,64,Fraud,18,1,2023,7,45
1,1,100,100,0,93,Not Fraud,19,1,2023,12,15
2,1,0,0,0,57,Not Fraud,20,1,2023,16,30
5,1,340,150,0,86,Fraud,21,1,2023,20,0
6,0,130,130,0,71,Not Fraud,22,1,2023,0,15
4,1,120,120,0,99,Not Fraud,23,1,2023,4,45
3,0,150,100,0,46,Fraud,24,1,2023,8,45
0,1,340,340,0,82,Not Fraud,25,1,2023,13,15
1,0,100,100,0,67,Not Fraud,26,1,2023,17,30
2,1,0,0,0,94,Not Fraud,27,1,2023,21,0
5,0,340,90,0,52,Fraud,28,1,2023,1,15
6,1,130,130,0,88,Not Fraud,29,1,2023,5,30
4,0,120,120,0,63,Not Fraud,30,1,2023,9,45
3,1,150,150,0,91,Not Fraud,31,1,2023,14,15
0,0,340,150,0,55,Fraud,1,2,2023,18,30
1,1,100,80,0,81,Fraud,2,2,2023,22,0
2,1,0,0,0,58,Not Fraud,3,2,2023,2,15
5,1,340,340,0,83,Not Fraud,4,2,2023,6,30
6,0,130,90,0,66,Fraud,5,2,2023,10,45
4,1,120,100,0,91,Fraud,6,2,2023,15,15
3,0,150,150,0,49,Not Fraud,7,2,2023,19,30
0,1,340,340,0,77,Not Fraud,8,2,2023,23,0
1,0,100,100,0,59,Not Fraud,9,2,2023,3,15
2,1,0,0,0,88,Not Fraud,10,2,2023,7,30
5,0,340,340,0,68,Not Fraud,11,2,2023,11,45
6,1,130,100,0,93,Fraud,12,2,2023,16,15
4,0,120,120,0,72,Not Fraud,13,2,2023,20,20
3,1,150,120,0,90,Fraud,14,2,2023,0,0
0,0,340,90,0,53,Fraud,15,2,2023,4,15
1,1,100,100,0,80,Not Fraud,16,2,2023,8,30
2,1,0,0,0,67,Not Fraud,17,2,2023,12,45
5,1,340,340,0,96,Not Fraud,18,2,2023,17,15
6,0,130,130,0,45,Not Fraud,19,2,2023,21,30
4,1,120,100,0,79,Fraud,20,2,2023,1,0
3,0,150,150,0,62,Not Fraud,21,2,2023,5,15
0,1,340,60,0,86,Fraud,22,2,2023,9,30
1,0,100,100,0,50,Not Fraud,23,2,2023,13,45
2,1,0,0,0,75,Not Fraud,24,2,2023,18,15
5,0,340,100,0,70,Fraud,25,2,2023,22,30
6,1,130,130,0,93,Not Fraud,26,2,2023,2,0
4,0,120,120,0,58,Not Fraud,27,2,2023,6,15
3,1,150,150,0,84,Not Fraud,28,2,2023,10,30
0,0,340,100,0,69,Fraud,1,3,2023,14,45
1,1,100,100,0,97,Not Fraud,2,3,2023,19,15
2,1,0,0,0,47,Not Fraud,3,3,2023,23,30
5,1,340,340,0,82,Not Fraud,4,3,2023,3,0
6,0,130,100,0,61,Fraud,5,3,2023,7,15
4,1,120,90,0,89,Fraud,6,3,2023,11,30
3,0,150,150,0,54,Not Fraud,7,3,2023,15,45
0,1,340,150,0,78,Fraud,8,3,2023,20,15
1,0,100,100,0,65,Not Fraud,9,3,2023,0,30
2,1,0,0,0,92,Not Fraud,10,3,2023,4,0
5,0,340,340,0,51,Not Fraud,11,3,2023,8,15
6,1,130,130,0,76,Not Fraud,12,3,2023,12,30
4,0,120,120,0,60,Not Fraud,13,3,2023,16,45
3,1,150,100,0,85,Fraud,14,3,2023,21,25
0,0,340,340,0,67,Not Fraud,15,3,2023,1,30
1,1,100,100,0,94,Not Fraud,16,3,2023,5,0
2,1,0,0,0,46,Not Fraud,17,3,2023,9,15
5,1,340,340,0,81,Not Fraud,18,3,2023,13,30
6,0,130,130,0,63,Not Fraud,19,3,2023,17,45
4,1,120,100,0,87,Fraud,20,3,2023,22,15
3,0,150,150,0,52,Not Fraud,21,3,2023,2,30
0,1,340,150,0,74,Fraud,22,3,2023,6,0
1,0,100,100,0,58,Not Fraud,23,3,2023,10,15
2,1,0,0,0,83,Not Fraud,24,3,2023,14,30
5,0,340,100,0,71,Fraud,25,3,2023,18,45
6,1,130,130,0,98,Not Fraud,26,3,2023,23,15
4,0,120,90,0,48,Fraud,27,3,2023,3,30
3,1,150,150,0,85,Not Fraud,28,3,2023,7,0
0,0,340,60,0,66,Fraud,29,3,2023,11,15
1,1,100,80,0,93,Fraud,30,3,2023,15,30
2,1,0,0,0,54,Not Fraud,31,3,2023,19,45
5,1,340,90,0,80,Fraud,1,4,2023,0,15
6,0,130,130,0,62,Not Fraud,2,4,2023,4,30
4,1,120,90,0,89,Fraud,3,4,2023,8,45
3,0,150,150,0,45,Not Fraud,4,4,2023,13,15
0,1,340,340,0,77,Not Fraud,5,4,2023,17,30
1,0,100,100,0,70,Not Fraud,6,4,2023,21,45
2,1,0,0,0,92,Not Fraud,7,4,2023,2,15
5,0,340,90,0,49,Fraud,8,4,2023,6,30
6,1,130,100,0,78,Fraud,9,4,2023,10,0
4,0,120,120,0,67,Not Fraud,10,4,2023,14,15
3,1,150,150,0,95,Not Fraud,11,4,2023,18,30
0,0,340,340,0,56,Not Fraud,12,4,2023,22,45
1,1,100,100,0,83,Not Fraud,13,4,2023,3,15
2,1,0,0,0,68,Not Fraud,14,4,2023,7,30
5,1,340,150,0,96,Fraud,15,4,2023,11,45
6,0,130,90,0,47,Fraud,16,4,2023,16,15
4,1,120,120,0,82,Not Fraud,17,4,2023,20,30
3,0,150,60,0,59,Fraud,18,4,2023,0,45
0,1,340,340,0,87,Not Fraud,19,4,2023,5,15
1,0,100,100,0,50,Not Fraud,20,4,2023,9,30
2,1,0,0,0,76,Not Fraud,21,4,2023,13,45
5,0,340,340,0,65,Not Fraud,22,4,2023,18,0
6,1,130,130,0,90,Not Fraud,23,4,2023,22,30
4,0,120,100,0,53,Fraud,24,4,2023,2,45
3,1,150,150,0,79,Not Fraud,25,4,2023,7,0
0,0,340,340,0,73,Not Fraud,26,4,2023,11,15
1,1,100,100,0,97,Not Fraud,27,4,2023,15,30
2,1,0,0,0,44,Not Fraud,28,4,2023,19,45
5,1,340,340,0,81,Not Fraud,29,4,2023,0,15
6,0,130,100,0,64,Fraud,30,4,2023,4,30
4,1,120,120,0,93,Not Fraud,1,5,2023,8,45
3,0,150,90,0,57,Fraud,2,5,2023,13,15
0,1,340,150,0,86,Fraud,3,5,2023,17,30
1,0,100,100,0,71,Not Fraud,4,5,2023,21,45
2,1,0,0,0,99,Not Fraud,5,5,2023,2,15
5,0,340,60,0,46,Fraud,6,5,2023,6,30
6,1,130,130,0,82,Not Fraud,7,5,2023,10,0
4,0,120,120,0,67,Not Fraud,8,5,2023,14,15
3,1,150,120,0,94,Fraud,9,5,2023,18,30
0,0,340,340,0,52,Not Fraud,10,5,2023,22,45
1,1,100,100,0,88,Not Fraud,11,5,2023,3,15
2,1,0,0,0,63,Not Fraud,12,5,2023,7,30
5,1,340,340,0,91,Not Fraud,13,5,2023,11,45
6,0,130,130,0,55,Not Fraud,14,5,2023,16,15
4,1,120,120,0,81,Not Fraud,15,5,2023,20,30
3,0,150,60,0,57,Fraud,16,5,2023,0,45
0,1,340,340,0,84,Not Fraud,17,5,2023,5,17
1,0,100,100,0,66,Not Fraud,18,5,2023,9,30
2,1,0,0,0,91,Not Fraud,19,5,2023,13,45
5,0,340,340,0,49,Not Fraud,20,5,2023,18,0
6,1,130,60,0,77,Fraud,21,5,2023,22,30
4,0,120,120,0,59,Not Fraud,22,5,2023,2,45
3,1,150,150,0,88,Not Fraud,23,5,2023,7,0
0,0,340,340,0,68,Not Fraud,24,5,2023,11,15
1,1,100,90,0,93,Fraud,25,5,2023,15,30
2,1,0,0,0,72,Not Fraud,26,5,2023,19,45
5,1,340,340,0,90,Not Fraud,27,5,2023,0,15
6,0,130,130,0,53,Not Fraud,28,5,2023,4,30
4,1,120,120,0,80,Not Fraud,29,5,2023,8,45
3,0,150,130,0,67,Fraud,30,5,2023,13,15
0,1,340,70,0,96,Fraud,31,5,2023,17,30
1,0,100,100,0,45,Not Fraud,1,6,2023,21,45
2,1,0,0,0,79,Not Fraud,2,6,2023,2,15
5,0,340,340,0,62,Not Fraud,3,6,2023,6,30
6,1,130,130,0,86,Not Fraud,4,6,2023,10,0
4,0,120,120,0,50,Not Fraud,5,6,2023,14,15
3,1,150,0,0,75,Fraud,6,6,2023,18,30
0,0,340,150,0,70,Fraud,7,6,2023,22,45
1,1,100,100,0,93,Not Fraud,8,6,2023,3,15
2,1,0,0,0,58,Not Fraud,9,6,2023,7,30
5,1,340,100,0,84,Fraud,10,6,2023,11,45
6,0,130,100,0,69,Fraud,11,6,2023,16,15
4,1,120,120,0,97,Not Fraud,12,6,2023,20,30
3,0,150,60,0,47,Fraud,13,6,2023,0,45
0,1,340,340,0,82,Not Fraud,14,6,2023,5,15
1,0,100,100,0,61,Not Fraud,15,6,2023,9,30
2,1,0,0,0,89,Not Fraud,16,6,2023,13,45
5,0,340,340,0,54,Not Fraud,17,6,2023,18,0
6,1,130,90,0,78,Fraud,18,6,2023,22,30
4,0,120,100,0,65,Fraud,19,6,2023,2,45
3,1,150,150,0,92,Not Fraud,20,6,2023,7,0
0,0,340,340,0,51,Not Fraud,21,6,2023,11,15
1,1,100,90,0,76,Fraud,22,6,2023,15,30
2,1,0,0,1,60,Not Fraud,23,6,2023,19,45
5,1,300,300,1,65,Not Fraud,24,6,2023,0,15
6,0,120,90,1,70,Fraud,25,6,2023,4,30
4,1,110,110,1,75,Not Fraud,26,6,2023,8,45
3,0,140,140,1,78,Not Fraud,27,6,2023,13,15
0,1,300,300,1,63,Not Fraud,1,1,2023,12,0
1,0,70,70,1,67,Not Fraud,2,1,2023,13,30
2,1,0,0,1,72,Not Fraud,3,1,2023,15,45
5,0,300,70,1,58,Fraud,4,1,2023,18,15
6,1,120,120,1,80,Not Fraud,5,1,2023,20,30
4,0,110,70,1,73,Fraud,6,1,2023,22,45
3,1,140,140,1,68,Not Fraud,7,1,2023,1,15
0,0,300,300,1,65,Not Fraud,8,1,2023,3,30
1,1,70,70,1,75,Not Fraud,9,1,2023,5,45
2,1,0,0,1,82,Not Fraud,10,1,2023,8,15
5,1,300,90,1,58,Fraud,11,1,2023,10,30
6,0,120,90,1,70,Fraud,12,1,2023,12,45
4,1,110,110,1,78,Not Fraud,13,1,2023,15,15
3,0,140,140,1,65,Not Fraud,14,1,2023,17,30
0,1,300,70,1,70,Fraud,15,1,2023,19,45
1,0,70,70,1,62,Not Fraud,16,1,2023,22,15
2,1,0,0,1,80,Not Fraud,18,1,2023,0,30
5,0,300,300,1,55,Not Fraud,19,1,2023,2,45
6,1,120,110,1,68,Fraud,20,1,2023,5,15
4,0,110,60,1,72,Fraud,21,1,2023,7,30
3,1,140,140,1,75,Not Fraud,22,1,2023,9,45
0,0,300,120,1,82,Fraud,23,1,2023,12,15
1,1,70,70,1,88,Not Fraud,24,1,2023,14,30
2,1,0,0,1,68,Not Fraud,25,1,2023,16,45
5,1,300,300,1,77,Not Fraud,26,1,2023,19,15
6,0,120,60,1,62,Fraud,27,1,2023,21,30
4,1,110,110,1,65,Not Fraud,28,1,2023,23,45
3,0,140,110,1,74,Fraud,30,1,2023,2,15
0,1,300,300,1,79,Not Fraud,31,1,2023,4,30
1,0,70,70,1,55,Not Fraud,1,2,2023,6,45
2,1,0,0,1,72,Not Fraud,2,2,2023,9,15
5,0,300,120,1,68,Fraud,3,2,2023,11,30
6,1,120,120,1,75,Not Fraud,4,2,2023,13,45
4,0,110,110,1,60,Not Fraud,5,2,2023,16,15
3,1,140,70,1,68,Fraud,6,2,2023,18,30
0,0,300,300,1,72,Not Fraud,7,2,2023,20,45
1,1,70,70,1,78,Not Fraud,9,2,2023,23,15
2,1,0,0,1,63,Not Fraud,11,2,2023,1,30
5,1,300,90,1,70,Fraud,12,2,2023,3,45
6,0,120,120,1,65,Not Fraud,13,2,2023,6,15
4,1,110,100,1,80,Fraud,14,2,2023,8,30
3,0,140,140,1,72,Not Fraud,15,2,2023,10,45
0,1,300,300,1,68,Not Fraud,16,2,2023,13,15
1,0,70,70,1,75,Not Fraud,17,2,2023,15,30
2,1,0,0,1,58,Not Fraud,18,2,2023,17,45
5,0,300,300,1,65,Not Fraud,19,2,2023,20,15
6,1,120,120,1,70,Not Fraud,20,2,2023,22,30
4,0,110,70,1,75,Fraud,22,2,2023,0,45
3,1,140,140,1,82,Not Fraud,23,2,2023,3,15
0,0,300,120,1,63,Fraud,24,2,2023,5,30
1,1,70,70,1,67,Not Fraud,25,2,2023,7,45
2,1,0,0,1,74,Not Fraud,26,2,2023,10,15
5,1,300,300,1,79,Not Fraud,27,2,2023,12,30
6,0,120,120,1,55,Not Fraud,28,2,2023,14,45
4,1,110,110,1,68,Not Fraud,1,3,2023,17,15
3,0,140,140,1,72,Not Fraud,2,3,2023,19,30
0,1,300,300,1,60,Not Fraud,3,3,2023,21,45
1,0,70,70,1,75,Not Fraud,5,3,2023,0,15
2,1,0,0,1,78,Not Fraud,6,3,2023,2,30
5,0,300,300,1,68,Not Fraud,7,3,2023,4,45
6,1,120,90,1,65,Fraud,8,3,2023,7,15
4,0,110,110,1,70,Not Fraud,9,3,2023,9,30
3,1,140,140,1,82,Not Fraud,10,3,2023,11,45
0,0,300,300,1,77,Not Fraud,11,3,2023,14,15
1,1,70,90,1,55,Fraud,12,3,2023,16,30
2,1,0,0,1,67,Not Fraud,13,3,2023,18,45
5,1,300,300,1,73,Not Fraud,14,3,2023,21,15
6,0,120,100,1,68,Fraud,16,3,2023,23,30
4,1,110,110,1,75,Not Fraud,18,3,2023,1,45
3,0,140,140,1,80,Not Fraud,19,3,2023,4,15
0,1,300,300,1,63,Not Fraud,20,3,2023,6,30
1,0,70,0,1,72,Fraud,21,3,2023,8,45
2,1,0,0,1,58,Not Fraud,22,3,2023,11,15
5,0,300,110,1,68,Fraud,23,3,2023,13,30
6,1,120,70,1,70,Fraud,24,3,2023,15,45
4,0,110,110,1,75,Not Fraud,25,3,2023,18,15
3,1,140,100,1,65,Fraud,26,3,2023,20,30
0,0,300,300,1,62,Not Fraud,28,3,2023,22,45
1,1,70,70,1,77,Not Fraud,30,3,2023,1,15
2,1,0,0,1,80,Not Fraud,31,3,2023,3,30
5,1,300,300,1,68,Not Fraud,1,4,2023,5,45
6,0,120,120,1,72,Not Fraud,2,4,2023,8,15
4,1,110,70,1,75,Fraud,3,4,2023,10,30
3,0,140,140,1,58,Not Fraud,4,4,2023,12,45
0,1,300,300,1,63,Not Fraud,5,4,2023,15,15
1,0,70,70,1,70,Not Fraud,6,4,2023,17,30
2,1,0,0,1,74,Not Fraud,7,4,2023,19,45
5,0,300,300,1,79,Not Fraud,8,4,2023,22,15
6,1,120,120,1,65,Not Fraud,10,4,2023,0,30
4,0,110,110,1,68,Not Fraud,11,4,2023,2,45
3,1,140,100,1,82,Fraud,12,4,2023,5,15
0,0,300,300,1,60,Not Fraud,13,4,2023,7,30
1,1,70,70,1,72,Not Fraud,14,4,2023,9,45
2,1,0,0,1,75,Not Fraud,15,4,2023,12,15
5,1,300,300,1,68,Not Fraud,16,4,2023,14,30
6,0,120,120,1,70,Not Fraud,17,4,2023,16,45
4,1,110,100,1,55,Fraud,18,4,2023,19,15
3,0,140,140,1,60,Not Fraud,19,4,2023,21,30
0,1,300,110,1,65,Fraud,21,4,2023,23,45
1,0,70,70,1,70,Not Fraud,23,4,2023,2,15
2,1,0,0,1,75,Not Fraud,24,4,2023,4,30
5,0,300,300,1,78,Not Fraud,25,4,2023,6,45
6,1,120,120,1,63,Not Fraud,26,4,2023,9,15
4,0,110,110,1,67,Not Fraud,27,4,2023,11,30
3,1,140,140,1,72,Not Fraud,28,4,2023,13,45
0,0,300,100,1,58,Fraud,29,4,2023,16,15
1,1,70,70,1,80,Not Fraud,30,4,2023,18,30
2,1,0,0,1,73,Not Fraud,1,5,2023,20,45
5,1,300,300,1,68,Not Fraud,3,5,2023,23,15
6,0,120,120,1,65,Not Fraud,5,5,2023,1,30
4,1,110,110,1,75,Not Fraud,6,5,2023,3,45
3,0,140,140,1,82,Not Fraud,7,5,2023,6,15
0,1,300,300,1,58,Not Fraud,8,5,2023,8,30
1,0,70,70,1,70,Not Fraud,9,5,2023,11,0
2,1,0,0,1,78,Not Fraud,10,5,2023,13,15
5,0,300,60,1,65,Fraud,11,5,2023,15,30
6,1,120,120,1,70,Not Fraud,12,5,2023,17,45
4,0,110,110,1,62,Not Fraud,13,5,2023,20,15
3,1,140,140,1,80,Not Fraud,15,5,2023,22,30
0,0,300,300,1,55,Not Fraud,17,5,2023,0,45
1,1,70,70,1,68,Not Fraud,18,5,2023,3,15
2,1,0,0,1,72,Not Fraud,19,5,2023,5,30
5,1,300,300,1,75,Not Fraud,20,5,2023,7,45
6,0,120,120,1,82,Not Fraud,21,5,2023,10,15
4,1,110,110,1,88,Not Fraud,22,5,2023,12,30
3,0,140,120,1,68,Fraud,23,5,2023,14,45
0,1,300,120,1,77,Fraud,24,5,2023,17,15
1,0,70,70,1,62,Not Fraud,25,5,2023,19,30
2,1,0,0,1,65,Not Fraud,28,5,2023,0,15
5,0,300,300,1,74,Not Fraud,29,5,2023,2,30
6,1,120,120,1,79,Not Fraud,30,5,2023,4,45
4,0,110,110,1,55,Not Fraud,31,5,2023,7,15
3,1,140,140,1,72,Not Fraud,1,6,2023,9,30
0,0,300,300,1,68,Not Fraud,2,6,2023,11,45
1,1,70,70,1,75,Not Fraud,3,6,2023,14,15
2,1,0,0,1,60,Not Fraud,4,6,2023,16,30
5,1,300,100,1,68,Fraud,5,6,2023,18,45
6,0,120,120,1,72,Not Fraud,6,6,2023,21,15
4,1,110,110,1,78,Not Fraud,7,6,2023,23,30
3,0,140,100,1,63,Fraud,9,6,2023,1,45
0,1,300,100,1,70,Fraud,10,6,2023,4,15
1,0,70,70,1,65,Not Fraud,11,6,2023,6,30
2,1,0,0,1,80,Not Fraud,12,6,2023,8,45
5,0,300,300,1,72,Not Fraud,15,6,2023,15,45
6,1,120,120,1,68,Not Fraud,16,6,2023,18,15
4,0,110,90,1,75,Fraud,17,6,2023,20,30
3,1,140,140,1,58,Not Fraud,18,6,2023,22,45
0,0,300,300,1,65,Not Fraud,20,6,2023,1,15
1,1,70,60,1,70,Fraud,21,6,2023,3,30
2,1,0,0,1,75,Not Fraud,22,6,2023,5,45
5,1,300,70,1,82,Fraud,23,6,2023,8,15
6,0,120,120,1,63,Not Fraud,24,6,2023,10,30
4,1,110,110,1,67,Not Fraud,25,6,2023,12,45
3,0,140,140,1,74,Not Fraud,26,6,2023,15,15
0,1,300,300,1,79,Not Fraud,27,6,2023,17,30
1,0,70,70,1,55,Not Fraud,28,6,2023,19,45
2,1,0,0,1,68,Not Fraud,29,6,2023,22,15
5,0,300,300,1,72,Not Fraud,1,7,2023,0,30
6,1,120,120,1,60,Not Fraud,2,7,2023,2,45
4,0,110,110,1,75,Not Fraud,3,7,2023,5,15
3,1,140,140,1,78,Not Fraud,4,7,2023,7,30
0,0,300,300,1,68,Not Fraud,5,7,2023,9,45
1,1,70,70,1,65,Not Fraud,6,7,2023,12,15
2,1,0,0,1,70,Not Fraud,7,7,2023,14,30
5,1,300,100,1,82,Fraud,8,7,2023,16,45
6,0,120,120,1,77,Not Fraud,9,7,2023,19,15
4,1,110,110,1,55,Not Fraud,10,7,2023,21,30
3,0,140,140,1,67,Not Fraud,11,7,2023,23,45
0,1,300,300,1,73,Not Fraud,13,7,2023,2,15
1,0,70,70,1,68,Not Fraud,14,7,2023,4,30
2,1,0,0,1,75,Not Fraud,15,7,2023,6,45
5,0,300,300,1,80,Not Fraud,16,7,2023,9,15
6,1,120,120,1,63,Not Fraud,17,7,2023,11,30
4,0,110,110,1,72,Not Fraud,18,7,2023,13,45
3,1,140,140,1,58,Not Fraud,19,7,2023,16,15
0,0,300,60,1,68,Fraud,20,7,2023,18,30
1,1,70,50,1,70,Fraud,21,7,2023,20,45
2,1,0,0,1,75,Not Fraud,22,7,2023,23,0
5,1,300,300,1,65,Not Fraud,24,7,2023,1,30
6,0,120,70,1,62,Fraud,25,7,2023,3,45
4,1,110,90,1,77,Fraud,26,7,2023,6,0
3,0,140,110,1,80,Fraud,27,7,2023,8,30
0,1,300,300,1,68,Not Fraud,28,7,2023,10,45
1,0,70,70,1,72,Not Fraud,29,7,2023,13,0
2,1,0,0,1,75,Not Fraud,30,7,2023,15,30
5,0,300,300,1,58,Not Fraud,31,7,2023,17,45
6,1,120,120,1,63,Not Fraud,2,8,2023,22,30
4,0,110,110,1,70,Not Fraud,4,8,2023,0,45
3,1,140,140,1,74,Not Fraud,5,8,2023,3,15
0,0,300,300,1,79,Not Fraud,6,8,2023,5,30
1,1,70,70,1,65,Not Fraud,7,8,2023,7,45
2,1,0,0,1,68,Not Fraud,8,8,2023,10,15
5,1,300,110,1,82,Fraud,9,8,2023,12,30
6,0,120,120,1,60,Not Fraud,10,8,2023,14,45
4,1,110,70,1,72,Fraud,11,8,2023,17,15
3,0,140,140,1,75,Not Fraud,12,8,2023,19,30
0,1,300,300,1,68,Not Fraud,13,8,2023,21,45
1,0,70,70,1,70,Not Fraud,15,8,2023,0,15
2,1,0,0,1,55,Not Fraud,16,8,2023,2,30
5,0,300,300,1,57,Not Fraud,17,8,2023,4,45
6,1,120,60,1,111,Fraud,18,8,2023,7,15
4,0,110,110,1,64,Not Fraud,19,8,2023,9,30
3,1,140,140,1,118,Not Fraud,20,8,2023,11,45
0,0,300,300,1,39,Not Fraud,21,8,2023,14,15
1,1,70,70,1,88,Not Fraud,22,8,2023,16,30
2,1,0,0,1,55,Not Fraud,23,8,2023,18,45
5,1,300,300,1,102,Not Fraud,24,8,2023,21,15
6,0,120,120,1,43,Not Fraud,26,8,2023,23,30
4,1,110,110,1,75,Not Fraud,28,8,2023,1,45
3,0,140,140,1,40,Not Fraud,29,8,2023,4,15
0,1,300,60,1,62,Fraud,30,8,2023,6,30
1,0,70,70,1,38,Not Fraud,31,8,2023,8,45
2,1,0,0,1,65,Not Fraud,1,9,2023,11,15
5,0,300,300,1,42,Not Fraud,2,9,2023,13,30
6,1,120,120,1,55,Not Fraud,3,9,2023,15,45
4,0,110,110,1,48,Not Fraud,4,9,2023,18,15
3,1,140,140,1,50,Not Fraud,5,9,2023,20,30
0,0,300,300,1,58,Not Fraud,6,9,2023,22,45
1,1,70,90,1,46,Fraud,8,9,2023,1,15
2,1,0,0,1,53,Not Fraud,9,9,2023,3,30
5,1,300,300,1,47,Not Fraud,10,9,2023,5,45
6,0,120,110,1,51,Fraud,11,9,2023,8,15
4,1,110,110,1,44,Not Fraud,12,9,2023,10,30
3,0,140,140,1,59,Not Fraud,13,9,2023,12,45
0,1,300,300,1,54,Not Fraud,14,9,2023,15,15
1,0,70,70,1,43,Not Fraud,15,9,2023,17,30
2,1,0,0,1,56,Not Fraud,16,9,2023,19,45
5,0,300,300,1,52,Not Fraud,17,9,2023,22,15
6,1,120,120,1,45,Not Fraud,19,9,2023,0,30
4,0,110,110,1,57,Not Fraud,20,9,2023,2,45
3,1,140,140,1,49,Not Fraud,21,9,2023,5,15
0,0,300,300,1,60,Not Fraud,22,9,2023,7,30
1,1,70,70,1,41,Not Fraud,23,9,2023,9,45
2,1,0,0,1,63,Not Fraud,24,9,2023,12,15
5,1,300,300,1,39,Not Fraud,25,9,2023,14,30
6,0,120,120,1,66,Not Fraud,26,9,2023,16,45
4,1,110,90,1,43,Fraud,28,9,2023,21,30
3,0,140,140,1,61,Not Fraud,30,9,2023,23,45
0,1,300,300,1,37,Not Fraud,2,10,2023,2,15
1,0,70,70,1,54,Not Fraud,3,10,2023,4,30
2,1,0,0,1,46,Not Fraud,4,10,2023,6,45
5,0,300,120,1,55,Fraud,5,10,2023,9,15
6,1,120,120,1,49,Not Fraud,6,10,2023,11,30
4,0,110,70,1,60,Fraud,7,10,2023,13,45
3,1,140,140,1,42,Not Fraud,8,10,2023,16,15
0,0,300,300,1,57,Not Fraud,9,10,2023,18,30
1,1,70,70,1,48,Not Fraud,10,10,2023,20,45
2,1,0,0,1,52,Not Fraud,11,10,2023,23,0
5,1,300,300,1,45,Not Fraud,13,10,2023,1,30
6,0,120,110,1,59,Fraud,14,10,2023,3,45
4,1,110,60,1,53,Fraud,15,10,2023,6,0
3,0,140,110,1,47,Fraud,17,10,2023,10,30
0,1,300,300,1,51,Not Fraud,18,10,2023,12,45
1,0,70,70,1,44,Not Fraud,19,10,2023,15,15
2,1,0,0,1,58,Not Fraud,20,10,2023,17,30
5,0,300,300,1,54,Not Fraud,21,10,2023,19,45
6,1,120,120,1,43,Not Fraud,23,10,2023,22,15
4,0,110,110,1,56,Not Fraud,25,10,2023,0,30
3,1,140,70,1,50,Fraud,26,10,2023,2,45
0,0,300,90,1,45,Fraud,27,10,2023,5,15
1,1,70,70,1,55,Not Fraud,28,10,2023,7,30
2,1,0,0,1,48,Not Fraud,29,10,2023,9,45
5,1,300,300,1,60,Not Fraud,30,10,2023,12,15
6,0,120,120,1,42,Not Fraud,31,10,2023,14,30
4,1,110,110,1,57,Not Fraud,1,11,2023,16,45
3,0,140,140,1,49,Not Fraud,2,11,2023,19,15
0,1,300,300,1,52,Not Fraud,3,11,2023,21,30
1,0,70,70,1,46,Not Fraud,4,11,2023,23,45
2,1,0,0,1,58,Not Fraud,6,11,2023,2,15
5,0,300,140,1,53,Fraud,7,11,2023,4,30
6,1,120,100,1,47,Fraud,8,11,2023,6,45
4,0,110,110,1,51,Not Fraud,9,11,2023,9,15
3,1,140,140,1,44,Not Fraud,10,11,2023,11,30
0,0,300,300,1,59,Not Fraud,11,11,2023,13,45
1,1,70,100,1,54,Fraud,12,11,2023,16,15
2,1,0,0,1,43,Not Fraud,13,11,2023,18,30
5,1,300,300,1,56,Not Fraud,14,11,2023,20,45
6,0,120,70,1,50,Fraud,16,11,2023,23,15
4,1,110,110,1,45,Not Fraud,18,11,2023,1,30
3,0,140,140,1,55,Not Fraud,19,11,2023,3,45
0,1,300,300,1,48,Not Fraud,20,11,2023,6,15
1,0,70,70,1,60,Not Fraud,21,11,2023,8,30
2,1,0,0,1,42,Not Fraud,22,11,2023,10,45
5,0,300,100,1,57,Fraud,23,11,2023,13,15
6,1,120,120,1,49,Not Fraud,24,11,2023,15,30
4,0,110,110,1,52,Not Fraud,25,11,2023,17,45
